2025-09-12 20:36:24 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:24 | INFO | app.handlers.common:cmd_start:32 | Owner started bot: Артём Кужбалов (@ArtemKuzhbalov) [ID: 304979538]
2025-09-12 20:36:30 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:32 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:37 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:39 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:41 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:36:44 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:37:41 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:37:43 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:37:45 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:37:51 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:37:53 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:37:55 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:38:00 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:38:03 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:38:06 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:38:16 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:38:18 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:55:27 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:55:31 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:55:33 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:55:37 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:57:29 | WARNING | app.handlers.common:cmd_start:70 | Unauthorized user started bot: Кристина (@Chris_krieger) [ID: 302944299]
2025-09-12 20:57:35 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:57:40 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 20:57:41 | INFO | app.handlers.admin_masters:process_master_salon:190 | New master created: Кристина (ID: 302944299) for salon Бьюти
2025-09-12 20:57:54 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 20:57:54 | INFO | app.handlers.common:cmd_start:53 | Master started bot: Кристина (@Chris_krieger) [ID: 302944299]
2025-09-12 20:58:11 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 20:58:14 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 20:58:23 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 20:58:25 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 20:58:35 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 20:58:47 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 20:58:47 | INFO | app.handlers.master:process_first_hand_photo:281 | Processing photo for analysis 38
2025-09-12 20:58:47 | INFO | app.handlers.master:process_first_hand_photo:282 | Photos before: []
